IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
162.159.237.98,187,213,196,0
162.159.35.185,179,212,198,0
162.159.42.145,191,222,202,0
162.159.43.30,194,223,204,0
198.41.212.107,196,230,207,0
162.159.34.113,197,230,208,0
172.64.79.19,196,236,215,0
